Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
ROAD,"Construction Partners, Inc.",121.85,USD,NASDAQ,5.03,6834579531.57,USD,89.07,0.0,477.49,49.05,50.64,16.85,-8.33,122.2,98.25,122.32,0.99,1.45,5.16,10.6,10.52,116.54,1.12,1.24,1.24,2.36
KC,Kingsoft Cloud Holdings Ltd. Sponsored ADR,12.91,USD,NASDAQ,2.38,3789002910.26,USD,,0.0,-57.85,390.87,7.67,-16.33,-22.88,13.88,14.15,14.63,2.14,2.12,0.72,-31.02,-7.19,382.22,1.38,0.98,0.91,2.36
PCT,"PureCycle Technologies, Inc.",13.36,USD,NASDAQ,1.67,2406043796.68,USD,,0.0,34.27,19.82,97.93,-14.63,-4.02,13.72,10.92,13.54,3.54,2.87,0.92,-148.91,-19.11,103.11,1.1,1.26,1.22,2.36
TILE,"Interface, Inc.",28.43,USD,NASDAQ,1.43,1659217913.59,USD,17.57,0.18,343.53,55.27,53.84,36.81,-3.2,27.59,22.74,27.72,2.07,0.68,0.71,18.63,14.09,145.93,1.15,1.21,1.25,2.36
TEL,C.N.T.E.E. Transelectrica SA,66.7,RON,BVB,2.93,1083532448.79,USD,8.03,5.88,182.63,71.25,51.59,12.86,12.86,62.9,51.43,59.96,0.94,0.9,1.05,10.82,7.31,135.7,1.14,1.22,1.3,2.36
LSCC,Lattice Semiconductor Corporation,70.51,USD,NASDAQ,1.31,9652507423.81,USD,307.9,0.0,102.61,31.18,46.65,34.95,-5.76,71.46,57.45,68.7,1.66,2.48,2.66,4.57,4.2,112.78,1.11,1.24,1.23,2.36
MCY,Mercury General Corporation,79.46,USD,NYSE,0.7,4401457680.03,USD,11.28,1.61,89.43,19.25,45.65,14.26,-2.54,82.01,64.28,79.58,0.99,1.2,2.09,21.56,9.91,79.15,1.08,1.28,1.24,2.36
SAN,"Banco Santander, S.A.",8.37,EUR,BME,-0.31,144835436759.68,USD,9.95,2.03,415.7,81.46,32.7,11.07,-3.43,8.59,6.98,8.45,1.6,1.59,0.18,13.29,1.16,125.23,1.13,1.23,1.2,2.36
SVV,"Savers Value Village, Inc.",13.49,USD,NYSE,2.2,2098450200.86,USD,65.58,0.0,-45.54,39.07,41.26,30.97,8.35,13.01,10.45,12.57,1.08,0.39,0.52,8.06,7.69,111.3,1.11,1.24,1.29,2.36
PINC,"Premier, Inc.",28.11,USD,NASDAQ,-0.07,2324259556.24,USD,129.66,2.99,-18.36,40.62,40.69,32.41,0.54,27.93,22.4,27.0,0.62,0.29,0.29,3.56,6.05,113.72,1.11,1.25,1.25,2.36
ZS,"Zscaler, Inc.",322.73,USD,NASDAQ,1.24,51088899047.88,USD,,0.0,121.51,76.83,53.76,13.54,11.56,306.1,252.28,290.48,1.06,1.3,9.43,-2.7,-4.29,144.13,1.14,1.21,1.28,2.36
HWM,Howmet Aerospace Inc.,199.32,USD,NYSE,-0.39,80351139009.85,USD,58.24,0.2,949.05,98.92,48.41,6.23,2.45,192.38,159.18,185.46,1.45,1.57,5.6,29.98,21.25,153.57,1.15,1.21,1.25,2.36
FLS,FLSmidth & Co. A/S,508.0,DKK,OMXCOP,0.59,4451769254.85,USD,54.5,1.58,197.08,42.7,63.55,26.94,12.89,470.81,383.01,447.5,0.71,0.42,10.47,11.62,13.19,133.19,1.13,1.23,1.33,2.36
SQZ,Serica Energy PLC,205.5,GBX,LSE,5.17,1023094481.88,USD,,9.72,91.34,51.44,55.92,20.46,22.76,190.47,154.41,178.42,0.45,1.49,9.02,-4.31,3.99,127.81,1.13,1.23,1.33,2.36
ALB,Albemarle Corporation,104.5,USD,NYSE,7.33,12297866261.42,USD,,1.66,9.0,9.48,82.09,23.42,25.15,92.21,74.06,85.44,1.66,1.62,5.3,-8.66,-1.41,114.99,1.11,1.25,1.41,2.36
ENJSA,Enerjisa Enerji A.S.,81.15,TRY,BIST,1.31,2223184903.03,USD,,3.58,755.11,51.4,41.75,22.49,4.98,79.95,64.03,76.27,1.14,0.98,2.83,-2.48,30.18,115.64,1.12,1.25,1.27,2.36
NKT,NKT A/S,744.0,DKK,OMXCOP,0.2,6186494622.21,USD,25.18,0.0,398.83,18.85,43.08,27.62,16.71,699.0,548.51,651.59,0.62,0.26,16.82,12.31,9.24,89.54,1.09,1.27,1.36,2.36
UNI,Unicaja Banco S.A.,2.32,EUR,BME,1.05,6844337925.14,USD,9.56,7.06,278.43,111.12,38.85,11.56,2.48,2.32,1.94,2.35,1.07,1.1,0.05,9.86,2.72,161.53,1.16,1.2,1.2,2.36
PXT,Parex Resources Inc.,18.46,CAD,TSX,1.21,1258117813.28,USD,10.31,8.44,33.77,42.22,59.0,20.65,-3.4,18.31,14.75,17.78,1.07,1.4,0.44,6.77,16.57,121.87,1.12,1.24,1.25,2.36
AMS,ams-OSRAM AG,11.68,CHF,SIX,0.6,1443341026.12,USD,,0.0,-89.49,16.16,72.4,10.19,0.69,11.48,9.17,10.75,1.77,2.64,0.57,-10.21,5.55,98.75,1.1,1.25,1.27,2.35
STNG,Scorpio Tankers Inc.,60.52,USD,NYSE,0.31,3087505889.16,USD,8.24,2.65,453.71,-1.83,68.91,36.77,3.38,56.42,45.37,54.86,-0.01,0.76,1.96,12.13,7.47,103.84,1.1,1.24,1.33,2.35
CLAS_B,Clas Ohlson AB Class B,352.4,SEK,OMXSTO,0.11,2365994847.16,USD,23.81,1.6,312.89,103.82,29.56,8.3,-3.77,355.41,294.86,355.47,1.11,0.33,7.97,40.95,32.92,141.67,1.14,1.21,1.2,2.35
ACLS,"Axcelis Technologies, Inc.",85.04,USD,NASDAQ,0.8,2635876765.05,USD,17.39,0.0,261.24,-7.12,76.31,17.03,-13.34,86.6,68.61,85.91,1.75,1.69,3.61,16.19,14.57,86.23,1.09,1.26,1.24,2.35
CMRE,Costamare Inc.,11.46,USD,NYSE,-1.45,1378394636.19,USD,4.84,3.96,123.89,14.35,70.14,17.31,-7.8,11.58,9.25,11.81,1.43,0.91,0.35,14.61,10.86,101.8,1.1,1.25,1.24,2.35
KGX,KION GROUP AG,56.9,EUR,XETR,1.52,8535686117.58,USD,32.45,1.46,-20.05,63.18,58.32,9.63,-4.05,56.37,46.14,56.93,1.71,1.97,1.83,3.89,4.05,131.13,1.13,1.22,1.23,2.35
N91,Ninety One Plc,228.6,GBX,LSE,1.15,5189029926.97,USD,13.34,5.4,6.23,33.37,59.41,16.69,14.59,212.84,170.99,201.73,1.06,1.93,7.64,40.52,,109.48,1.11,1.24,1.34,2.35
SAAB_B,Saab AB Class B,524.5,SEK,OMXSTO,6.53,27938758971.16,USD,54.5,0.37,894.31,121.49,27.09,-1.45,-3.94,526.9,437.6,527.56,-0.03,0.46,22.34,14.05,12.12,147.14,1.15,1.2,1.2,2.35
PKN,ORLEN Spolka Akcyjna,97.65,PLN,GPW,0.36,30975798447.28,USD,10.56,6.17,132.39,84.38,42.97,15.43,14.83,89.58,74.0,85.04,1.44,0.74,2.17,7.34,13.61,142.78,1.14,1.21,1.32,2.35
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",16.89,EUR,BME,-0.41,113237722261.61,USD,9.34,3.34,591.65,84.95,36.54,29.92,4.58,16.37,13.61,16.17,1.8,1.3,0.41,18.91,8.03,151.42,1.15,1.2,1.24,2.35
ETE,National Bank of Greece S.A.,12.72,EUR,ATHEX,-4.0,14078879044.63,USD,10.55,3.35,1185.35,74.51,31.73,4.3,3.96,13.2,10.68,12.66,2.06,1.52,0.4,12.92,5.14,110.54,1.11,1.24,1.19,2.35
BWA,BorgWarner Inc.,44.2,USD,NYSE,1.12,9564564567.12,USD,47.19,1.14,23.55,28.49,56.57,22.27,1.59,43.17,34.63,43.24,1.09,0.82,0.89,3.66,11.9,107.33,1.11,1.25,1.28,2.35
