Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perfsum,mrat,perf_sum,perf_norm,MRAT,Diff,score
TPR,"Tapestry, Inc.",98.39,USD,NYSE,-0.49,20477283505.0,USD,155.39,1.42,571.15,142.64,13.61,27.51,-7.76,106.39,77.38,98.06,1.53,1.15,3.93,9.76,17.21,183.77,1.374861905,183.77,1.18,1.37,1.27,2.56
K,KINROSS GOLD CORP,27.14,CAD,TSX,2.45,23766360193.0,USD,15.68,0.63,135.18,113.36,66.71,32.58,23.64,24.59,18.2,22.66,0.67,1.48,0.77,22.5,24.43,212.66,1.350763416,212.66,1.21,1.35,1.49,2.56
STX,Seagate Technology Holdings PLC,154.6,USD,NASDAQ,-2.4,32879891749.0,USD,22.83,1.81,243.71,48.37,50.58,42.78,3.76,153.45,108.23,146.47,1.52,1.83,5.02,,38.24,141.73,1.417816564,141.73,1.14,1.42,1.43,2.56
WDC,Western Digital Corporation,74.66,USD,NASDAQ,-1.3,25901206686.0,USD,14.53,0.13,190.95,52.27,37.88,51.69,8.94,74.32,52.38,68.0,1.59,2.02,2.08,25.98,21.47,141.83,1.418975424,141.83,1.14,1.42,1.43,2.56
TPEIR,PIRAEUS FINANCIAL HOLDINGS(CR),7.11,EUR,ATHEX,-0.53,10314375147.0,USD,8.34,4.18,-65.77,83.01,49.97,23.1,5.4,6.98,5.03,6.45,2.05,1.93,0.17,14.23,4.96,156.08,1.386287173,156.08,1.16,1.39,1.41,2.54
AAF,AIRTEL AFRICA PLC ORD USD0.5,217.8,GBX,LSE,1.68,10475447826.0,USD,30.67,2.3,275.52,92.57,59.68,20.53,16.53,209.99,153.99,193.22,1.56,1.83,5.17,,,172.78,1.363689637,172.78,1.17,1.36,1.41,2.54
ORCL,Oracle Corporation,233.16,USD,NYSE,-0.81,654908000000.0,USD,53.71,0.77,318.15,67.98,32.39,50.44,-3.64,247.35,180.71,233.47,1.43,1.48,7.75,85.36,14.73,150.81,1.368810403,150.81,1.15,1.37,1.29,2.52
STR,STRABAG SE,87.2,EUR,VIE,0.58,11895867986.0,USD,12.4,2.75,236.03,127.08,57.69,7.13,11.79,83.94,63.31,80.07,0.34,1.21,2.62,17.57,11.35,191.89,1.325921053,191.89,1.19,1.33,1.38,2.52
TIT,TELECOM ITALIA,0.46,EUR,MIL,-0.46,11750224991.0,USD,111.59,0.0,24.87,97.2,68.2,17.86,11.92,0.43,0.32,0.42,0.99,0.77,0.01,-2.01,4.1,183.26,1.336429851,183.26,1.18,1.34,1.42,2.52
BWXT,"BWX Technologies, Inc.",165.34,USD,NYSE,1.09,15111867779.0,USD,51.58,0.6,190.38,66.12,57.56,46.31,18.74,165.17,122.56,150.79,0.72,1.15,5.44,26.97,11.56,169.98,1.347745917,169.98,1.17,1.35,1.35,2.52
CCJ,Cameco Corporation,71.43,USD,NYSE,1.36,31099725255.0,USD,79.37,0.16,575.78,71.58,53.88,27.41,-6.75,76.1,55.96,74.13,1.26,2.49,2.82,8.25,6.7,152.87,1.35973224,152.87,1.15,1.36,1.28,2.51
HOT,HOCHTIEF AG,223.6,EUR,XETR,0.18,19494853518.0,USD,20.51,2.36,192.1,107.42,47.98,33.81,19.89,206.48,156.47,184.95,0.99,1.35,4.76,108.18,14.85,189.21,1.31959807,189.21,1.19,1.32,1.43,2.51
AVAV,"AeroVironment, Inc.",235.07,USD,NASDAQ,1.22,11598941549.0,USD,152.31,0.0,196.32,25.38,46.9,43.55,-11.29,256.06,184.1,245.61,0.99,1.67,11.28,5.1,6.19,115.84,1.390843649,115.84,1.12,1.39,1.28,2.51
